Age,Working_Class,fnlwgt,Education_Level,Years_In_Education,Status,Occupation,Relationship_Status,Race,Gender,Capital_Gain,Capital_Loss,Hours_Per_week,Country,Income
25,2,226802.0,1,7.0,4,6,3,2,1,0.0,0.0,40.0,38,0.0
38,2,89814.0,11,9.0,2,4,0,4,1,0.0,0.0,50.0,38,0.0
28,1,336951.0,7,12.0,2,10,0,4,1,0.0,0.0,40.0,38,1.0
44,2,160323.0,15,10.0,2,6,0,2,1,7688.0,0.0,40.0,38,1.0
34,2,198693.0,0,6.0,4,7,1,4,1,0.0,0.0,30.0,38,0.0
63,4,104626.0,14,15.0,2,9,0,4,1,3103.0,0.0,32.0,38,1.0
24,2,369667.0,15,10.0,4,7,4,4,0,0.0,0.0,40.0,38,0.0
55,2,104996.0,5,4.0,2,2,0,4,1,0.0,0.0,10.0,38,0.0
65,2,184454.0,11,9.0,2,6,0,4,1,6418.0,0.0,40.0,38,1.0
36,0,212465.0,9,13.0,2,0,0,4,1,0.0,0.0,40.0,38,0.0
26,2,82091.0,11,9.0,4,0,1,4,0,0.0,0.0,39.0,38,0.0
48,2,279724.0,11,9.0,2,6,0,4,1,3103.0,0.0,48.0,38,1.0
43,2,346189.0,12,14.0,2,3,0,4,1,0.0,0.0,50.0,38,1.0
20,5,444554.0,15,10.0,4,7,3,4,1,0.0,0.0,25.0,38,0.0
43,2,128354.0,11,9.0,2,0,5,4,0,0.0,0.0,30.0,38,0.0
37,2,60548.0,11,9.0,6,6,4,4,0,0.0,0.0,20.0,38,0.0
40,2,85019.0,10,16.0,2,9,0,1,1,0.0,0.0,45.0,0,1.0
34,2,107914.0,9,13.0,2,12,0,4,1,0.0,0.0,47.0,38,1.0
34,2,238588.0,15,10.0,4,7,3,2,0,0.0,0.0,35.0,38,0.0
25,2,220931.0,9,13.0,4,9,1,4,1,0.0,0.0,43.0,28,0.0
25,2,205947.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,0.0
45,4,432824.0,11,9.0,2,2,0,4,1,7298.0,0.0,90.0,38,1.0
22,2,236427.0,11,9.0,4,0,3,4,1,0.0,0.0,20.0,38,0.0
23,2,134446.0,11,9.0,5,6,4,2,1,0.0,0.0,54.0,38,0.0
54,2,99516.0,11,9.0,2,2,0,4,1,0.0,0.0,35.0,38,0.0
32,4,109282.0,15,10.0,4,9,1,4,1,0.0,0.0,60.0,38,0.0
46,5,106444.0,15,10.0,2,3,0,2,1,7688.0,0.0,38.0,38,1.0
56,4,186651.0,1,7.0,6,7,4,4,0,0.0,0.0,50.0,38,0.0
24,4,188274.0,9,13.0,4,11,1,4,1,0.0,0.0,50.0,38,0.0
23,1,258120.0,15,10.0,2,10,0,4,1,0.0,0.0,40.0,38,0.0
26,2,43311.0,11,9.0,0,3,4,4,0,0.0,0.0,40.0,38,0.0
36,1,403681.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,1.0
22,2,248446.0,4,3.0,4,8,1,4,1,0.0,0.0,50.0,13,0.0
17,2,269430.0,0,6.0,4,6,1,4,1,0.0,0.0,40.0,38,0.0
20,2,257509.0,11,9.0,4,2,3,4,1,0.0,0.0,40.0,38,0.0
65,2,136384.0,12,14.0,2,9,0,4,1,0.0,0.0,50.0,38,1.0
44,3,120277.0,8,11.0,2,11,0,4,1,0.0,0.0,45.0,38,1.0
36,2,465326.0,11,9.0,2,4,0,4,1,0.0,0.0,40.0,38,0.0
29,2,103634.0,1,7.0,2,7,0,4,1,0.0,0.0,40.0,38,0.0
20,5,138371.0,15,10.0,4,4,3,4,1,0.0,0.0,32.0,38,0.0
28,2,242832.0,8,11.0,2,9,5,4,0,0.0,0.0,36.0,38,1.0
39,2,290208.0,5,4.0,2,2,0,4,1,0.0,0.0,40.0,25,0.0
54,2,186272.0,15,10.0,2,13,0,4,1,3908.0,0.0,50.0,38,0.0
52,2,201062.0,1,7.0,5,8,1,2,0,0.0,0.0,18.0,38,0.0
